access,gateway,0.43680722
account,explanation,0.60917395
account,invoice,0.29275614
account,statement,0.4156859
acoustic,remedy,-0.012314002
acrylic,cloth,0.68588567
action,adjustment,0.3683731
action,entrance,0.1307852
activity,event,0.44597015
activity,music,0.12653662
activity,skiing,0.16120546
addition,segment,0.15758629
adhesive,glue,0.7344379
adult,dentist,0.24924019
adult,doctor,0.22220792
afternoon,substance,-0.17594905
age,childhood,0.35057312
agency,army,0.27464503
agency,office,0.33548123
agency,police,0.45645997
agent,spy,0.48650885
agreement,contract,0.68457097
aim,purpose,0.39610487
aircraft,balloon,0.48276278
aircraft,yacht,0.32536754
alarm,horn,0.15483648
alarm,press,-0.07874812
algorithm,search,0.439939
alien,stranger,0.29010847
alloy,metal,0.6689168
alphabet,script,0.7811755
aluminum,oxygen,0.5638424
amount,distance,0.39071718
amount,number,0.52236396
amount,season,0.19368486
amusement,athletics,0.47892556
amusement,play,0.15603063
amusement,procedure,-0.2070065
anatomy,creation,0.23136754
animal,flora,0.35077488
animal,worm,0.45181942
ankle,joint,0.110010676
anniversary,birthday,0.79110104
answer,plea,0.4517203
apparel,dress,0.1738043
appearance,shadow,0.34796312
apple,bank,0.10415665
apple,orange,0.20905674
apple,pod,0.32428956
appliance,dryer,0.34556782
appliance,refrigerator,0.37623996
approach,swing,0.29301634
approval,encouragement,0.5615202
approving,interaction,-0.033954583
arc,rainbow,0.20350093
architecture,engineering,0.47466344
area,patio,0.07925111
area,region,0.7295189
argument,evidence,0.5252232
argument,indication,0.53468335
arm,arrow,0.6943512
arm,missile,0.40534258
armor,mail,0.14753848
army,legion,0.5696575
aroma,fragrance,0.577514
aroma,smell,0.5593306
arrangement,blizzard,0.015920347
arrangement,room,0.23707199
article,girl,-0.005623282
artillery,gun,0.5579497
aspen,maple,0.560445
ass,donkey,0.6766436
assembly,crowd,0.1241998
assets,capital,0.43474972
assets,credit,0.5781769
assets,income,0.5475128
association,organization,0.64330935
athlete,participant,0.2333487
athletics,racing,0.5047362
athletics,swimming,0.50471234
attitude,notice,0.17687507
attitude,study,0.27058685
attorney,lawyer,0.62782913
attraction,pressure,0.2559367
attraction,quality,0.3325562
attribute,condition,0.3184296
average,time,0.12776212
baby,computer,-0.0467487
bail,bond,0.04102083
bait,instrument,0.23415199
bait,pump,0.42134067
bakery,work,-0.04504531
bakery,workplace,0.19361226
balance,gauge,0.1852664
ball,egg,0.26490024
ball,nut,0.33550358
ball,poker,0.43870974
ball,sphere,0.18029669
band,circle,0.19251804
bar,needle,0.48538622
bar,rod,0.4796534
barrel,gallon,0.6046141
base,club,0.24495374
base,stock,0.33249477
baseball,softball,0.6452953
basin,vessel,0.3429839
basketball,hockey,0.8168903
basketball,squash,0.4692704
bathroom,chamber,0.16677317
battle,fight,0.48703268
bay,mere,-0.30861598
beach,chain,0.2138265
beach,ridge,0.7068969
beam,column,0.493009
beat,meter,0.31668463
beat,rhythm,0.54726446
bed,layer,0.22756825
bedroom,cell,0.100919366
bedroom,construction,0.09967601
bee,insect,0.6511348
beef,cattle,0.80128765
