access,gateway,2.538973871058276
account,explanation,3.6375861597263857
account,invoice,3.6375861597263857
account,statement,2.9444389791664407
acoustic,remedy,2.9444389791664407
acrylic,cloth,2.9444389791664407
action,adjustment,2.538973871058276
action,entrance,2.538973871058276
activity,event,2.538973871058276
activity,music,2.9444389791664407
activity,skiing,2.2512917986064953
addition,segment,2.2512917986064953
adhesive,glue,2.538973871058276
adult,dentist,2.0281482472922856
adult,doctor,2.0281482472922856
afternoon,substance,2.2512917986064953
age,childhood,2.538973871058276
agency,army,2.9444389791664407
agency,office,3.6375861597263857
agency,police,2.538973871058276
agent,spy,2.538973871058276
agreement,contract,2.538973871058276
aim,purpose,3.6375861597263857
aircraft,balloon,2.538973871058276
aircraft,yacht,2.2512917986064953
alarm,horn,2.9444389791664407
alarm,press,2.2512917986064953
algorithm,search,2.0281482472922856
alien,stranger,3.6375861597263857
alloy,metal,3.6375861597263857
alphabet,script,2.9444389791664407
aluminum,oxygen,2.2512917986064953
amount,distance,2.538973871058276
amount,number,3.258096538021482
amount,season,2.2512917986064953
amusement,athletics,2.538973871058276
amusement,play,2.538973871058276
amusement,procedure,2.2512917986064953
anatomy,creation,2.2512917986064953
animal,flora,2.538973871058276
animal,worm,2.538973871058276
ankle,joint,2.2512917986064953
anniversary,birthday,2.9444389791664407
answer,plea,2.9444389791664407
apparel,dress,3.6375861597263857
appearance,shadow,2.538973871058276
apple,bank,1.2396908869280152
apple,orange,2.2512917986064953
apple,pod,2.2512917986064953
appliance,dryer,2.9444389791664407
appliance,refrigerator,2.2512917986064953
approach,swing,2.9444389791664407
approval,encouragement,2.9444389791664407
approving,interaction,1.6916760106710724
arc,rainbow,2.9444389791664407
architecture,engineering,2.538973871058276
area,patio,2.9444389791664407
area,region,3.6375861597263857
argument,evidence,2.9444389791664407
argument,indication,2.538973871058276
arm,arrow,2.538973871058276
arm,missile,2.9444389791664407
armor,mail,2.538973871058276
army,legion,2.9444389791664407
aroma,fragrance,3.6375861597263857
aroma,smell,3.6375861597263857
arrangement,blizzard,2.2512917986064953
arrangement,room,2.538973871058276
article,girl,1.55814461804655
artillery,gun,3.6375861597263857
aspen,maple,2.2512917986064953
ass,donkey,2.9444389791664407
assembly,crowd,2.538973871058276
assets,capital,2.9444389791664407
assets,credit,2.9444389791664407
assets,income,2.0281482472922856
association,organization,2.9444389791664407
athlete,participant,2.538973871058276
athletics,racing,2.9444389791664407
athletics,swimming,2.538973871058276
attitude,notice,1.845826690498331
attitude,study,2.0281482472922856
attorney,lawyer,3.6375861597263857
attraction,pressure,2.2512917986064953
attraction,quality,2.9444389791664407
attribute,condition,2.538973871058276
average,time,2.0281482472922856
baby,computer,2.2512917986064953
bail,bond,3.6375861597263857
bait,instrument,2.538973871058276
bait,pump,2.0281482472922856
bakery,work,2.9444389791664407
bakery,workplace,2.9444389791664407
balance,gauge,2.2512917986064953
ball,egg,3.6375861597263857
ball,nut,3.6375861597263857
ball,poker,1.6916760106710724
ball,sphere,2.9444389791664407
